event_date,fight,locked_pick,actual_winner,displayed_method,actual_method,winner_correct,method_correct,joint_correct
2026-08-15,Jalin Turner vs Kaue Fernandes,Kaue Fernandes,Jalin Turner,KO,KO,0,1,0
2026-08-15,Charles Johnson vs Eduardo Chapolin,Charles Johnson,Charles Johnson,DEC,SUB,1,0,0
2026-08-15,Chidi Njokuani vs Joel Alvarez,Joel Alvarez,Chidi Njokuani,SUB,DEC,0,0,0
2026-08-15,Edson Barboza vs Esteban Ribovics,Esteban Ribovics,Esteban Ribovics,DEC,KO,1,0,0
2026-08-15,Mansur Abdul-Malik vs Dustin Stoltzfus,Mansur Abdul-Malik,Dustin Stoltzfus,KO,SUB,0,0,0
2026-08-15,Mackenzie Dern vs Gillian Robertson,Gillian Robertson,Mackenzie Dern,DEC,DEC,0,1,0
2026-08-15,Islam Makhachev vs Ian Machado Garry,Islam Makhachev,Islam Makhachev,DEC,DEC,1,1,1
2026-08-22,Shanelle Dyer vs Elise Reed,Shanelle Dyer,Shanelle Dyer,KO,KO,1,1,1
2026-08-22,Wes Schultz vs Jackson McVey,Jackson McVey,Jackson McVey,KO,KO,1,1,1
2026-08-22,Gauge Young vs Stanley Dorsainvil,Gauge Young,Stanley Dorsainvil,DEC,DEC,0,1,0
2026-08-22,Marcio Barbosa vs Ryan Kuse,Marcio Barbosa,Marcio Barbosa,KO,KO,1,1,1
2026-08-22,Chris Padilla vs Nasrat Haqparast,Nasrat Haqparast,Chris Padilla,DEC,SUB,0,0,0
2026-08-22,Kennedy Nzechukwu vs Shamil Gaziev,Kennedy Nzechukwu,Shamil Gaziev,KO,KO,0,1,0
2026-08-22,Jamall Emmers vs Lerryan Douglas,Lerryan Douglas,Jamall Emmers,KO,KO,0,1,0
2026-08-22,Anthony Wint vs Terrance Chatman,Terrance Chatman,Anthony Wint,KO,SUB,0,0,0
2026-08-22,Carli Judice vs Jeisla Chaves,Carli Judice,Carli Judice,DEC,KO,1,0,0
2026-08-22,MarQuel Mederos vs Mason Jones,Mason Jones,MarQuel Mederos,DEC,KO,0,0,0
2026-08-22,Reinier de Ridder vs Roman Dolidze,Reinier de Ridder,Reinier de Ridder,DEC,KO,1,0,0
2026-08-22,Serghei Spivac vs Vitor Petrino,Vitor Petrino,Vitor Petrino,KO,DEC,1,0,0
2026-08-22,Anthony Hernandez vs Gregory Rodrigues,Anthony Hernandez,Gregory Rodrigues,SUB,DEC,0,0,0
2026-08-29,Ding Meng vs Cam Nelson,Ding Meng,Cam Nelson,DEC,DEC,0,1,0
2026-08-29,Xiong Jingnan vs Julia Polastri,Julia Polastri,Julia Polastri,DEC,KO,1,0,0
2026-08-29,Lawrence Lui vs Hector Santiago,Lawrence Lui,Hector Santiago,DEC,KO,0,0,0
2026-08-29,Xiao Long vs Francesco Nuzzi,Xiao Long,Francesco Nuzzi,DEC,KO,0,0,0
2026-08-29,Jack Jenkins vs Sean Woodson,Sean Woodson,Sean Woodson,DEC,DEC,1,1,1
2026-08-29,Rei Tsuruya vs Kevin Borjas,Rei Tsuruya,Rei Tsuruya,DEC,SUB,1,0,0
2026-08-29,Namsrai Batbayar vs Andre Lima,Andre Lima,Andre Lima,DEC,SUB,1,0,0
2026-08-29,Bilal Hasan vs Nilson Rojas,Bilal Hasan,Bilal Hasan,KO,KO,1,1,1
2026-08-29,Liu Ce vs Levi Rodrigues Jr.,Liu Ce,Liu Ce,KO,KO,1,1,1
2026-08-29,Alex Perez vs Sumudaerji,Sumudaerji,Sumudaerji,DEC,DEC,1,1,1
2026-08-29,Aoriqileng vs Kai Asakura,Kai Asakura,Kai Asakura,KO,KO,1,1,1
2026-08-29,Yan Xiaonan vs Denise Gomes,Denise Gomes,Denise Gomes,DEC,KO,1,0,0
2026-08-29,Umar Nurmagomedov vs Song Yadong,Umar Nurmagomedov,Song Yadong,DEC,KO,0,0,0
2026-09-05,Delphine Benouaich vs Sofia Montenegro,Sofia Montenegro,Delphine Benouaich,DEC,SUB,0,0,0
2026-09-05,Matthieu Duclos vs Luis Felipe Dias,Luis Felipe Dias,Matthieu Duclos,KO,KO,0,1,0
2026-09-05,Nora Cornolle vs Klaudia Sygula,Klaudia Sygula,Nora Cornolle,DEC,DEC,0,1,0
2026-09-05,Michael Aljarouj vs Fabia Sintes,Michael Aljarouj,Fabia Sintes,DEC,DEC,0,1,0
2026-09-05,Nathaniel Wood vs Pavel Andrusca,Nathaniel Wood,Pavel Andrusca,DEC,DEC,0,1,0
2026-09-05,Oumar Sy vs Modestas Bukauskas,Oumar Sy,Modestas Bukauskas,KO,KO,0,1,0
2026-09-05,Mario Pinto vs Ryan Spann,Mario Pinto,Mario Pinto,KO,KO,1,1,1
2026-09-05,Morgan Charriere vs Felipe Lima,Felipe Lima,Felipe Lima,DEC,DEC,1,1,1
2026-09-05,Losene Keita vs Muhammad Naimov,Losene Keita,Losene Keita,DEC,KO,1,0,0
2026-09-05,Kurtis Campbell vs Trevor Peek,Kurtis Campbell,Kurtis Campbell,DEC,SUB,1,0,0
2026-09-05,Daniil Donchenko vs Punahele Soriano,Daniil Donchenko,Daniil Donchenko,KO,DEC,1,0,0
2026-09-05,Michael Page vs Nursulton Ruziboev,Michael Page,Michael Page,DEC,DEC,1,1,1
2026-09-05,Fares Ziam vs Axel Sola,Fares Ziam,Axel Sola,DEC,KO,0,0,0
2026-09-05,Dan Hooker vs Salahdine Parnasse,Dan Hooker,Salahdine Parnasse,KO,KO,0,1,0
2026-09-19,Giga Chikadze vs Joanderson Brito,Joanderson Brito,Joanderson Brito,DEC,KO,1,0,0
2026-09-19,Casey O'Neill vs Eduarda Moura,Casey O'Neill,Casey O'Neill,DEC,SUB,1,0,0
2026-09-19,Edmen Shahbazyan vs Brunno Ferreira,Edmen Shahbazyan,Edmen Shahbazyan,DEC,DEC,1,1,1
2026-09-19,Ryan Gandra vs Ozzy Diaz,Ryan Gandra,Ryan Gandra,KO,KO,1,1,1
2026-09-19,Michael Aswell Jr. vs JooSang Yoo,Michael Aswell Jr.,Michael Aswell Jr.,KO,DEC,1,0,0
2026-09-19,Tai Tuivasa vs Robelis Despaigne,Robelis Despaigne,Robelis Despaigne,KO,DEC,1,0,0
2026-09-19,Marlon Vera vs Charles Jourdain,Charles Jourdain,Marlon Vera,DEC,KO,0,0,0
2026-09-19,Alonzo Menifield vs Iwo Baraniewski,Iwo Baraniewski,Alonzo Menifield,KO,DEC,0,0,0
2026-09-19,Gable Steveson vs Sean Sharaf,Gable Steveson,Sean Sharaf,KO,KO,0,1,0
2026-09-19,Patricio Pitbull vs Dooho Choi,Dooho Choi,Patricio Pitbull,DEC,KO,0,0,0
2026-09-19,Arman Tsarukyan vs Mauricio Ruffy,Arman Tsarukyan,Arman Tsarukyan,SUB,KO,1,0,0
2026-09-19,Joshua Van vs Alexandre Pantoja,Joshua Van,Joshua Van,DEC,DEC,1,1,1
